title,viewCount,subscriberCount,videoCount,retrievedAt
ኢትዮ ሰላም  Ethio Selam,2503458,34300,101,2023-02-14 23:04:59 UTC
ዓባይ ዜና - Abbay News,16915469,334000,1085,2023-02-14 23:04:59 UTC
Abebe Belew,28302265,149000,1020,2023-02-15 23:04:48 UTC
Adebabay Media,12907145,98800,908,2023-02-15 23:04:48 UTC
Alpha Media አልፋ ሚዲያ,4866330,38900,887,2023-02-15 23:04:48 UTC
Anchor Ethiopia ,4091770,73100,143,2023-02-15 23:04:48 UTC
Andafta,264323699,887000,5854,2023-02-15 23:04:48 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,413711,13400,49,2023-02-15 23:04:48 UTC
Ashara Media - አሻራ ሚዲያ,2244982,32000,621,2023-02-15 23:04:48 UTC
EMS (Ethiopian Media Services),40339341,220000,868,2023-02-15 23:04:48 UTC
ETHIO 251 MEDIA ,11256359,101000,857,2023-02-15 23:04:48 UTC
Ethio 360 Media,218451772,576000,3847,2023-02-15 23:04:48 UTC
Ethio News - ኢትዮ ኒውስ,26770603,161000,1327,2023-02-15 23:04:48 UTC
Feta Daily News,142308796,578000,899,2023-02-15 23:04:48 UTC
GEBEYANU,10194527,107000,596,2023-02-15 23:04:48 UTC
MENELIK TELEVISION 3,18526,544,27,2023-02-15 23:04:48 UTC
Mager Media - ማገር ,1153037,22300,304,2023-02-15 23:04:48 UTC
Mengizem Media ምንጊዜም ሚዲያ,3457927,30500,1192,2023-02-15 23:04:48 UTC
OMN,107904787,507000,9391,2023-02-15 23:04:48 UTC
Reyot,40866773,187000,2005,2023-02-15 23:04:48 UTC
Roha ,10254919,93000,862,2023-02-15 23:04:48 UTC
Terara Network,3387856,45200,276,2023-02-15 23:04:48 UTC
Tigrai Media House,153222512,350000,5303,2023-02-15 23:04:48 UTC
Zara Media Network - ዛራ,19373418,127000,348,2023-02-15 23:04:48 UTC
Zemedkun Bekele Podcast,295340,11600,64,2023-02-15 23:04:48 UTC
ኢትዮ ሰላም  Ethio Selam,2516254,34400,103,2023-02-15 23:04:48 UTC
ዓባይ ዜና - Abbay News,16942099,334000,1090,2023-02-15 23:04:48 UTC
Abebe Belew,28326135,149000,1021,2023-02-16 23:04:45 UTC
Adebabay Media,12930702,98800,908,2023-02-16 23:04:45 UTC
Alpha Media አልፋ ሚዲያ,4877678,38900,888,2023-02-16 23:04:45 UTC
Anchor Ethiopia ,4182176,73100,146,2023-02-16 23:04:45 UTC
Andafta,264450650,887000,5858,2023-02-16 23:04:45 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,418049,13400,51,2023-02-16 23:04:45 UTC
Ashara Media - አሻራ ሚዲያ,2250277,32000,625,2023-02-16 23:04:45 UTC
EMS (Ethiopian Media Services),40583794,220000,877,2023-02-16 23:04:45 UTC
ETHIO 251 MEDIA ,11300195,101000,857,2023-02-16 23:04:45 UTC
Ethio 360 Media,218747493,576000,3853,2023-02-16 23:04:45 UTC
Ethio News - ኢትዮ ኒውስ,26818962,161000,1329,2023-02-16 23:04:45 UTC
Feta Daily News,141221299,578000,901,2023-02-16 23:04:45 UTC
GEBEYANU,10195282,107000,597,2023-02-16 23:04:45 UTC
MENELIK TELEVISION 3,20279,558,30,2023-02-16 23:04:45 UTC
Mager Media - ማገር ,1153568,22300,304,2023-02-16 23:04:45 UTC
Mengizem Media ምንጊዜም ሚዲያ,3464303,30500,1194,2023-02-16 23:04:45 UTC
OMN,107991579,507000,9398,2023-02-16 23:04:45 UTC
Reyot,40900368,188000,2006,2023-02-16 23:04:45 UTC
